Ma_Hang,BG_LC_hien_tai,Gia_von_VAT
SP2724903,160000.0,
SP2724269,,85714.0
SP2724265,150000.0,84762.0
SP2722648,420000.0,312910.0
SP2712291,,23810.0
SP267929,150000.0,34314.0
SP2724270,43000.0,28095.0
SP2708548,104500.0,90476.0
SP402312,100000.0,
SP402308,91900.0,
SP402288,52000.0,
SP402286,60000.0,
SP402283,63000.0,66000.0
SP402274,140000.0,
SP402260,119000.0,
SP402249,161000.0,164286.0
SP402244,,180120.0
SP402240,,208000.0
SP402239,57200.0,
SP402234,51000.0,46300.0
SP402205,380000.0,
SP402200,62000.0,56000.0
SP402188,447000.0,447000.0
SP402183,160000.0,
SP402181,29400.0,
SP402179,23900.0,
SP402177,15000.0,14286.0
SP402163,28400.0,
SP402160,110000.0,
SP402159,19000.0,
SP402155,96000.0,105143.0
SP402148,372000.0,
SP402126,225000.0,
SP402113,22300.0,
SP402109,149000.0,
SP402106,42000.0,
SP402101,48000.0,
SP402096,29000.0,45000.0
SP402086,33000.0,
SP402081,391000.0,
SP402080,62000.0,
SP402079,300000.0,285714.0
SP402078,122100.0,133722.0
SP402076,125000.0,
SP402072,429000.0,
SP402065,96000.0,95520.0
SP402059,22100.0,
SP402043,,
SP402041,275000.0,
SP402040,104800.0,
SP402037,30000.0,100000.0
SP402034,12000.0,
SP402028,24600.0,
SP402025,135000.0,
SP402017,30000.0,24500.0
SP2725824,99000.0,
SP2725538,300000.0,
SP2725498,492800.0,
SP2725496,378000.0,
SP2725494,271600.0,
SP2725488,220500.0,
SP2725483,84000.0,
SP2725477,432600.0,
SP2725454,65000.0,
SP2725450,,
SP2725438,31500.0,
SP2725296,,
SP2725276,130000.0,94858.0
SP2725270,,
SP2725263,636000.0,
SP2724908,5500.0,
SP2724837,70000.0,
SP2724833,,
SP2724744,250000.0,
SP2724626,149010.0,
SP2724624,105000.0,
SP2724572,234000.0,
SP2724568,60000.0,
SP2724547,50400.0,
SP2724534,119000.0,
SP2724505,295000.0,
SP2724496,51000.0,
SP2724493,48000.0,
SP2724491,358000.0,
SP2724490,535920.0,
SP2724437,160000.0,
SP2724433,216000.0,
SP2724425,59000.0,
SP2724423,50000.0,
SP2724421,45000.0,
SP2724419,27000.0,
SP2724416,57000.0,
SP2724414,102000.0,
SP2724397,,
SP2724395,30000.0,
SP2724391,,
SP2724379,124000.0,
SP2724364,,
SP2724341,128000.0,105604.0
SP2724333,175000.0,
SP2724310,450000.0,
SP2724302,80000.0,
SP2724298,208000.0,
SP2724281,342400.0,
SP2724191,114000.0,
SP2724189,320000.0,
SP2724188,29000.0,
SP2724186,210300.0,
SP2724179,455000.0,
SP2724174,,
SP2724173,57200.0,
SP2724172,90000.0,
SP2724166,51000.0,
SP2724165,140000.0,
SP2724160,76000.0,
SP2724159,674250.0,
SP2724157,2054900.0,
SP2724156,54000.0,
SP2724149,174000.0,
SP2724137,160000.0,
SP2724135,450000.0,
SP2724130,199000.0,
SP2724129,,
SP2724128,,
SP2724120,85000.0,
SP2724118,128800.0,
SP2724116,210000.0,
SP2724102,,
SP2724087,309000.0,
SP2724078,194400.0,
SP2724075,25000.0,
SP2724073,7500.0,
SP2724069,126000.0,
SP2724065,81000.0,
SP2724063,195000.0,
SP2724061,37000.0,
SP2724055,,
SP2724044,,
SP2724040,333900.0,
SP2724038,318000.0,
SP2724036,98000.0,
SP2724030,100000.0,
SP2724025,200000.0,
SP2724024,41000.0,
SP2724021,39000.0,
SP2724020,3600000.0,
SP2724018,220000.0,
SP2724017,406000.0,
SP2724011,990000.0,
SP2724009,55000.0,
SP2724000,72000.0,
SP2723999,114000.0,
SP2723991,150000.0,
SP2723978,,
SP2723973,170000.0,
SP2723966,,
SP2723964,11550.0,
SP2723949,23240000.0,
SP2723945,124000.0,
SP2723943,70000.0,
SP2723939,1606000.0,
SP2723937,157500.0,
SP2723903,60000.0,
SP2723891,170000.0,
SP2723887,101000.0,
SP2723886,,
SP2723885,210000.0,
SP2723874,71400.0,
SP2723873,342000.0,
SP2723860,220000.0,
SP2723844,,
SP2723840,91000.0,
SP2723833,20000.0,
SP2723831,,
SP2723830,166920.0,
SP2723823,82000.0,
SP2723821,340000.0,
SP2723818,111000.0,
SP2723817,60000.0,
SP2723815,110000.0,
SP2723806,54000.0,
SP2723805,150000.0,
SP2723803,310000.0,
SP2723793,120000.0,
SP2723786,,
SP2723785,462000.0,201981.0
SP2723772,145000.0,
SP2723761,,
SP2723751,418000.0,
SP2723749,,
SP2723748,207900.0,
SP2723745,375000.0,
SP2723741,50000.0,
SP2723740,250000.0,
SP2723733,99000.0,
SP2723731,25500.0,
SP2723727,442000.0,
SP2723692,47000.0,47000.0
SP2723690,,
SP2723689,162000.0,
SP2723687,329000.0,
SP2723685,70000.0,
SP2723678,1100000.0,
SP2723675,432000.0,
SP2723656,560000.0,
SP2723650,249000.0,
SP2723630,126000.0,
SP2723621,,
SP2723619,824900.0,
SP2723611,389990.0,
SP2723594,210000.0,
SP2723587,176400.0,
SP2723571,334000.0,
SP2723567,,
SP2723562,185000.0,
SP2723559,4500000.0,
SP2723547,330000.0,
SP2723502,1225000.0,
SP2723500,195000.0,
SP2723498,,
SP2723486,,
SP2723456,224100.0,
SP2723443,,
SP2723442,60000.0,
SP2723436,25000.0,
SP2723428,1751000.0,
SP2723424,135000.0,
SP2723422,16000.0,
SP2723419,102000.0,
SP2723410,45000.0,
SP2723408,460000.0,
SP2723394,62000.0,
SP2723385,14000.0,
SP2723383,286650.0,
SP2723381,,111047.0
SP2723380,38000.0,
SP2723379,,
SP2723377,187000.0,
SP2723372,65000.0,
SP2723371,159990.0,
SP2723369,290000.0,
SP2723367,40000.0,
SP2723357,,
SP2723355,,
SP2723354,53000.0,
SP2723352,197800.0,
SP2723345,73000.0,
SP2723343,220000.0,
SP2723339,,
SP2723337,206000.0,
SP2723336,,
SP2723330,837250.0,
SP2723324,50000.0,
SP2723322,,
SP2723318,228000.0,
SP2723317,90000.0,
SP2723315,77000.0,
SP2723305,55000.0,
SP2723304,100000.0,100000.0
SP2723299,135200.0,
SP2723287,189660.0,
SP2723286,104000.0,
SP2723283,1720000.0,
SP2723280,35000.0,35000.0
SP2723277,780000.0,
SP2723274,27000.0,
SP2723272,231000.0,
SP2723270,280000.0,
SP2723267,,
SP2723264,140000.0,
SP2723261,110000.0,
SP2723259,210000.0,
SP2723257,42000.0,
SP2723251,633600.0,
SP2723239,46400.0,
SP2723233,35000.0,
SP2723232,6000.0,
SP2723221,,
SP2723219,50000.0,
SP2723211,,
SP2723204,2299000.0,
SP2723203,130000.0,
SP2723192,54000.0,
SP2723190,30000.0,
SP2723188,1010000.0,
SP2723186,,
SP2723183,88000.0,
SP2723179,6000.0,
SP2723174,,
SP2723173,799000.0,
SP2723171,9000.0,
SP2723147,63000.0,
SP2723144,,
SP2723138,222000.0,
SP2723132,598900.0,
SP2723130,121000.0,
SP2723128,,
SP2723123,180000.0,213571.0
SP2723119,4700.0,
SP2723116,150000.0,
SP2723109,323850.0,
SP2723107,,
SP2723106,63900.0,
SP2723099,411000.0,
SP2723095,145000.0,
SP2723094,268000.0,
SP2723092,120000.0,
SP2723085,62000.0,
SP2723072,490000.0,
SP2723066,477100.0,
SP2723064,514000.0,
SP2723062,671000.0,720703.0
SP2723054,47000.0,
SP2723049,,
SP2723046,404250.0,
SP2723043,,
SP2723038,59000.0,
SP2723037,,
SP2723034,,
SP2723030,24000.0,
SP2723027,187000.0,
SP2723023,93000.0,
SP2723021,300000.0,
SP2723013,36000.0,
SP2723011,960000.0,
SP2723007,250000.0,
SP2723002,54000.0,
SP2722996,138000.0,
SP2722994,171000.0,
SP2722991,55000.0,
SP2722987,109000.0,
SP2722984,57600.0,
SP2722978,,
SP2722972,,
SP2722969,129000.0,
SP2722965,42000.0,
SP2722964,604800.0,
SP2722962,,
SP2722956,122000.0,
SP2722954,594000.0,
SP2722949,,
SP2722948,42000.0,
SP2722931,375000.0,
SP2722928,390000.0,
SP2722926,95000.0,
SP2722925,322000.0,
SP2722922,105000.0,
SP2722920,260000.0,
SP2722916,89000.0,
SP2722914,32000.0,
SP2722912,259000.0,
SP2722910,,
SP2722909,121000.0,
SP2722907,60000.0,
SP2722906,24500.0,
SP2722905,160000.0,
SP2722903,550400.0,
SP2722901,12500.0,
SP2722900,,
SP2722890,155000.0,
SP2722879,399000.0,
SP2722873,,
SP2722871,32900.0,
SP2722868,37000.0,
SP2722842,,
SP2722841,155000.0,
SP2722840,30000.0,
SP2722829,6500.0,
SP2722823,140000.0,
SP2722804,49000.0,
SP2722800,250000.0,
SP2722795,115000.0,
SP2722794,46000.0,
SP2722731,105000.0,
SP2722725,40940.0,56117.0
SP2722724,41860.0,56117.0
SP2722723,618300.0,
SP2722717,480000.0,
SP2722713,395000.0,
