Ma_Hang,BG_LC_hien_tai,Gia_von_VAT
SP2724903,160000.0,368000.0
SP2724269,,85714.0
SP2724265,150000.0,84762.0
SP2722648,420000.0,312910.0
SP2712291,,23810.0
SP267929,150000.0,34314.0
SP2724270,43000.0,28095.0
SP2708548,104500.0,90476.0
SP402308,91900.0,71999.97
SP402283,63000.0,66000.0
SP402274,140000.0,115000.0
SP402249,161000.0,164286.0
SP402244,,180120.0
SP402240,,208000.0
SP402234,51000.0,46300.0
SP402200,62000.0,56000.0
SP402188,447000.0,447000.0
SP402177,15000.0,14286.0
SP402155,96000.0,105143.0
SP402079,300000.0,285714.0
SP402078,122100.0,133722.0
SP402065,96000.0,95520.0
SP402037,30000.0,100000.0
SP402017,30000.0,24500.0
SP2725276,130000.0,94858.0
SP2724505,295000.0,156000.0
SP2724493,48000.0,49500.0
SP2724433,216000.0,184461.0
SP2724341,128000.0,105604.0
SP2724159,674250.0,701599.3200000001
SP2723793,120000.0,119999.25
SP2723785,462000.0,201981.0
SP2723692,47000.0,47000.0
SP2723381,,111047.0
SP2723304,100000.0,100000.0
SP2723280,35000.0,35000.0
SP2723171,9000.0,7999.9875
SP2723132,598900.0,339570.0
SP2723123,180000.0,213571.0
SP2723062,671000.0,720703.0
SP2722984,57600.0,63799.92
SP2722725,40940.0,56117.0
SP2722724,41860.0,56117.0
SP2722567,50000.0,50000.0
SP2722505,30000.0,26000.1
SP2722490,17000.0,17000.0
SP2722233,55000.0,55000.0
SP2722189,58000.0,58000.0
SP2722100,,39000.0
SP2722099,,20900.0
SP2722014,132000.0,166901.0
SP2721962,,243100.0
SP2721946,76000.0,70000.0
SP2721865,,550000.0
SP2721767,28000.0,19444.0
SP2721759,61000.0,63148.0
SP2721622,173250.0,
SP2721519,162500.0,83134.0
SP2721478,675000.0,675000.0
SP2721473,425000.0,410000.0
SP2721428,11000.0,5238.0
SP2721416,27000.0,27000.0
SP2721410,72000.0,75428.0
SP2721407,23000.0,25500.0
SP2721404,150000.0,129600.0
SP2721332,298000.0,283810.0
SP2721314,60000.0,59850.0
SP2721207,280000.0,266667.0
SP2721083,65000.0,58500.0
SP2721074,,292000.0
SP2721068,21000.0,22499.9775
SP2721067,230000.0,255000.0
SP2721043,175000.0,175000.0875
SP2720953,98000.0,45000.0
SP2720943,18000.0,16800.0
SP2720939,8000.0,88633.0
SP2720888,95000.0,
SP2720752,110000.0,110000.1
SP2720653,20800.0,20800.0
SP2720652,39000.0,30999.996
SP2720641,380000.0,380000.0
SP2720609,165000.0,164175.0
SP2720607,272000.0,221809.0
SP2720340,129000.0,129000.0
SP2720315,195000.0,185714.0
SP2720309,156000.0,122000.0
SP2720287,230000.0,230000.4
SP2720203,53000.0,44000.0
SP2720193,50000.0,39704.0
SP2720048,,46000.0
SP2719998,260000.0,345000.0
SP2719951,125000.0,119048.0
SP2719939,37000.0,31733.1
SP2719926,,205952.0
SP2719903,49500.0,90000.0
SP2719801,330000.0,380000.0
SP2719598,14000.0,53703.0
SP2719528,,193518.6
SP2719453,280000.0,272437.4537
SP2719282,325000.0,316396.7517
SP2719188,,160079.76
SP2719068,,23760.0
SP2718980,244800.0,75000.0
SP2718969,273000.0,286000.0
SP2718884,,45400.0
SP2718792,23800.0,22499.4
SP2718757,440000.0,449714.0
SP2718732,61000.0,39226.0
SP2718414,30000.0,30000.0
SP2718297,131000.0,124761.0
SP2718128,44500.0,44277.0
SP2718126,44500.0,38540.0
SP2718043,726000.0,726000.0
SP2717908,369000.0,368000.0
SP2717898,642600.0,540833.0
SP2717883,200000.0,176400.0
SP2717881,28000.0,28000.0
SP2717847,24180.0,16444.0
SP2717843,120000.0,120000.0
SP2717715,84000.0,65714.0
SP2717680,140000.0,129630.0
SP2717666,,989999.0
SP2717592,157500.0,157500.0
SP2717487,1510880.0,1613334.0
SP2717417,12000.0,44048.0
SP2717213,236000.0,155000.52
SP2716884,272000.0,221429.0
SP2716712,117000.0,117000.0
SP2716638,117000.0,75000.0
SP2716637,70000.0,73000.2
SP2716591,,159999.84
SP2716537,24000.0,22857.0
SP2716529,51000.0,65715.0
SP2716459,294000.0,246000.0
SP2716435,385000.0,385000.0
SP2716383,665000.0,696666.0
SP2716243,325000.0,324600.15
SP2716139,150000.0,67500.3
